from_date,to_date,pm25,pm10,no,nh3,no2,nox,so2,co,ozone,bp,wind_speed,air_temp,humidity,rainfall
2018-09-23 03:00:00,2018-09-23 04:00:00,20.369714285714288,33.41866666666667,6.580333333333333,20.951666666666664,16.1515625,14.746774193548386,12.331851851851852,0.5913333333333334,23.561764705882354,953.7417391304349,2.11125,25.107727272727274,88.95576923076922,0.0
2018-09-23 04:00:00,2018-09-23 05:00:00,20.396176470588237,35.424,6.05741935483871,21.1175,16.285625,14.254838709677419,12.169629629629629,0.5943333333333333,22.648529411764706,953.8230434782608,2.2216666666666667,25.10090909090909,89.28153846153847,0.0
2018-09-23 05:00:00,2018-09-23 06:00:00,20.39742857142857,35.885,6.719655172413793,21.778750000000002,16.04375,14.255806451612903,11.686296296296295,0.6639999999999999,21.617941176470588,954.0313043478261,2.2841666666666667,25.07318181818182,89.47692307692309,0.0
2018-09-23 06:00:00,2018-09-23 07:00:00,24.96742857142857,40.987096774193546,6.95,21.86916666666667,16.830625,15.102580645161291,11.412222222222223,0.6226666666666667,20.615757575757574,954.4165217391305,2.2641666666666667,25.193181818181817,89.03576923076922,0.0
2018-09-23 07:00:00,2018-09-23 08:00:00,26.68342857142857,45.895483870967745,7.292000000000001,22.38791666666667,17.948125,15.869032258064516,11.07037037037037,0.6359999999999999,22.355882352941176,954.9408695652173,2.3666666666666667,25.453181818181818,88.38615384615385,0.0
2018-09-23 08:00:00,2018-09-23 09:00:00,29.626,48.710967741935484,7.956,23.207083333333333,16.899375,16.174193548387095,11.170740740740742,0.643,25.076176470588237,955.196956521739,2.4879166666666666,26.332727272727276,86.09692307692308,0.0
2018-09-23 09:00:00,2018-09-23 10:00:00,31.640857142857143,55.67709677419355,8.451935483870967,23.76608695652174,17.54625,17.274193548387096,11.531481481481482,0.6474193548387097,27.099999999999998,955.3669565217391,2.5679166666666666,26.974545454545456,84.11999999999999,0.0
2018-09-23 10:00:00,2018-09-23 11:00:00,34.74485714285714,67.29612903225807,8.97375,22.855999999999998,17.607878787878786,17.670625,12.432857142857143,0.7009677419354838,29.24147058823529,955.3817391304348,2.69,27.62318181818182,82.23269230769232,0.0
2018-09-23 11:00:00,2018-09-23 12:00:00,36.84914285714286,72.22967741935483,7.6187499999999995,23.6352,17.91878787878788,16.6259375,12.054642857142856,0.6796774193548387,31.606764705882348,955.1126086956522,2.6283333333333334,28.41318181818182,79.83923076923078,0.0
2018-09-23 12:00:00,2018-09-23 13:00:00,39.892,75.59806451612903,7.10625,23.5956,20.635757575757577,17.4871875,10.962222222222223,0.6983870967741935,32.13941176470588,954.5500000000001,2.31375,28.33090909090909,81.13115384615384,0.085
2018-09-23 13:00:00,2018-09-23 14:00:00,39.54971428571429,76.86709677419356,7.4558064516129035,23.3636,19.516060606060606,17.186875,9.904444444444445,0.6825806451612904,35.4030303030303,953.7982608695653,2.3995833333333336,29.07590909090909,78.52,0.018181818181818184
2018-09-23 14:00:00,2018-09-23 15:00:00,37.82685714285714,72.85741935483871,7.0225,23.1936,20.225151515151513,17.404375,10.41111111111111,0.6851612903225806,36.9630303030303,953.1139130434782,2.4899999999999998,29.31863636363636,77.49307692307693,0.04454545454545455
2018-09-23 15:00:00,2018-09-23 16:00:00,36.97971428571429,72.12806451612904,6.2509375,22.987599999999997,20.184848484848487,16.745,9.818928571428572,0.6683870967741935,36.32727272727273,952.8830434782609,2.1679166666666667,29.45,76.30269230769231,0.056818181818181816
2018-09-23 16:00:00,2018-09-23 17:00:00,33.24971428571428,68.6841935483871,7.407741935483871,23.3448,23.206060606060603,19.12,10.041851851851852,0.6938709677419356,33.02181818181818,952.7326086956521,1.93,29.11590909090909,76.935,0.0018181818181818182
2018-09-23 17:00:00,2018-09-23 18:00:00,31.58971428571429,71.55000000000001,7.4712903225806455,23.7104,24.413636363636364,19.8265625,11.313333333333333,0.6935483870967742,27.577575757575755,952.8726086956522,2.598333333333333,28.048636363636366,81.09884615384615,0.0036363636363636364
2018-09-23 18:00:00,2018-09-23 19:00:00,34.892857142857146,74.16,7.884193548387096,23.2132,24.11969696969697,19.801875,11.164642857142857,0.7222580645161291,21.811470588235295,952.9652173913043,2.6504166666666666,26.30272727272727,87.55038461538462,0.24454545454545454
2018-09-23 19:00:00,2018-09-23 20:00:00,34.382,63.156129032258065,6.8153125,22.908,23.41060606060606,18.2921875,11.24392857142857,0.7351612903225806,19.358823529411765,959.1082608695652,2.5254166666666666,25.514090909090907,91.74961538461538,0.6631818181818182
2018-09-23 20:00:00,2018-09-23 21:00:00,34.62942857142857,53.49161290322581,7.232258064516128,21.49,22.723333333333333,18.018125,11.199285714285713,0.7312903225806452,19.226176470588232,959.8478260869565,2.33875,25.220454545454547,93.90384615384616,0.17181818181818181
2018-09-23 21:00:00,2018-09-23 22:00:00,28.00142857142857,39.97354838709678,7.9753125,21.0508,25.583939393939392,20.88125,12.088214285714285,0.7687096774193548,18.026764705882353,955.1391304347826,1.8470833333333332,25.172727272727272,93.59846153846154,0.05545454545454545
